,database-id,groupID,gender,age,computerUse,brand,silent,defaultNotification,city-start-time,city-end-time,city-alert0-time,city-alert1-time,city-alert2-time,city-wpm,city-alert-order,beach-start-time,beach-end-time,beach-alert0-time,beach-alert1-time,beach-alert2-time,beach-wpm,beach-alert-order,airport-start-time,airport-end-time,airport-alert0-time,airport-alert1-time,airport-alert2-time,airport-wpm,airport-alert-order,city-alert0-hit,city-alert1-hit,city-alert2-hit,beach-alert0-hit,beach-alert1-hit,beach-alert2-hit,airport-alert0-hit,airport-alert1-hit,airport-alert2-hit
10,64431e641ac6346e6c038a36,C-2484,male,30,10+,Samsung,3,False,1682119960112.0,1682120111114.0,1682120052925.0,1682120018517.0,1682120063333.0,28,"[1, 0, 2]",1682120141936.0,,1682120170742.0,1682120215565.0,1682120185953.0,57,"[0, 2, 1]",1682119778245.0,1682119929251.0,1682119888669.0,1682119843861.0,1682119825453.0,50,"[2, 1, 0]",1,0,0,1,1,1,1,1,0
11,6446f0d463c0be00572e7573,D-2353,female,22,8-10,Apple,5,False,1682370621808.0,,1682370680221.0,1682370708228.0,1682370665012.0,45,"[2, 0, 1]",1682370439983.0,1682370590987.0,1682370527209.0,1682370484789.0,1682370499196.0,47,"[1, 2, 0]",1682370258155.0,1682370409163.0,1682370294957.0,1682370305365.0,1682370319772.0,48,"[0, 1, 2]",0,0,1,1,0,1,0,0,0
12,6446f88eec78a1c34b4e6ddf,A-6491,male,22,4-7,Apple,5,True,1682372417775.0,1682372568779.0,1682372511445.0,1682372472999.0,1682372492229.0,45,"[1, 2, 0]",1682372599598.0,,1682372677213.0,1682372692421.0,1682372658805.0,50,"[2, 0, 1]",1682372235954.0,1682372386955.0,1682372288757.0,1682372301564.0,1682372322373.0,59,"[0, 1, 2]",0,0,0,1,1,1,0,0,0
13,6446fd98266ff54e1ff2302b,B-3533,male,37,4-7,Apple,3,True,1682373889136.0,,1682373918741.0,1682373966756.0,1682373945148.0,64,"[0, 2, 1]",1682373707312.0,1682373858315.0,1682373758525.0,1682373737718.0,1682373782594.0,97,"[1, 0, 2]",1682373525486.0,1682373676491.0,1682373634310.0,1682373612701.0,1682373572693.0,103,"[2, 1, 0]",1,1,0,1,1,1,1,0,0
14,6447012b062b2f8e5c191733,C-8722,female,20,4-7,Apple,3,True,1682374622183.0,1682374773184.0,1682374669397.0,1682374655789.0,1682374690208.0,66,"[1, 0, 2]",1682374804008.0,,1682374829613.0,1682374877629.0,1682374852821.0,84,"[0, 2, 1]",1682374440361.0,1682374591364.0,1682374534781.0,1682374514772.0,1682374473965.0,98,"[2, 1, 0]",1,1,1,1,1,1,1,1,0
15,6447053c5d0d90101b0bee14,D-688,male,21,4-7,Apple,4,True,1682375845207.0,,1682375935626.0,1682375958837.0,1682375905215.0,37,"[2, 0, 1]",1682375663384.0,1682375814387.0,1682375726606.0,1682375695389.0,1682375710596.0,59,"[1, 2, 0]",1682375481560.0,1682375632563.0,1682375533566.0,1682375567981.0,1682375580788.0,43,"[0, 1, 2]",1,1,0,1,1,1,1,1,1
16,644709285fe441168c0e58fe,A-8623,female,42,10+,Apple,3,False,1682376485745.0,1682376636747.0,1682376514549.0,1682376539357.0,1682376553764.0,106,"[0, 1, 2]",1682376667608.0,1682376818610.0,1682376745237.0,1682376694013.0,1682376727622.0,96,"[1, 2, 0]",1682376849432.0,,1682376908645.0,1682376929458.0,1682376891837.0,111,"[2, 0, 1]",1,1,1,1,1,1,1,1,0
17,64470d1ff63226fe84e4eec5,B-7430,male,22,8-10,Apple,5,True,1682377682856.0,1682377833859.0,1682377762102.0,1682377734863.0,1682377806126.0,51,"[1, 0, 2]",1682377501029.0,1682377652035.0,1682377574664.0,1682377561049.0,1682377533039.0,46,"[2, 1, 0]",1682377864679.0,,1682377895085.0,1682377948701.0,1682377911092.0,56,"[0, 2, 1]",1,1,1,1,1,1,0,1,0
18,644713de166d0850ef2aa4be,C-9046,male,21,8-10,Apple,4,True,1682379227931.0,1682379378939.0,1682379341581.0,1682379303166.0,1682379269534.0,57,"[2, 1, 0]",1682379409760.0,1682379560763.0,1682379477779.0,1682379464165.0,1682379504989.0,54,"[1, 0, 2]",1682379591584.0,,1682379629992.0,1682379683610.0,1682379659601.0,66,"[0, 2, 1]",1,1,0,1,1,1,1,1,0
19,64499ff350928032ed769c9e,D-8258,other,22,10+,Apple,3,False,1682546342963.0,1682546493967.0,1682546417392.0,1682546370968.0,1682546386982.0,76,"[1, 2, 0]",1682546161140.0,1682546312143.0,1682546197945.0,1682546228353.0,1682546257161.0,54,"[0, 1, 2]",1682546524787.0,,1682546590408.0,1682546621617.0,1682546575994.0,54,"[2, 0, 1]",0,0,0,0,0,0,0,0,0
20,6449b02ae1ce3c603daef89d,A-4353,male,23,4-7,Apple,4,False,1682550312259.0,1682550463263.0,1682550365865.0,1682550393073.0,1682550425906.0,57,"[0, 1, 2]",1682550494092.0,1682550645095.0,1682550576512.0,1682550536497.0,1682550562904.0,94,"[1, 2, 0]",1682550675915.0,,1682550752728.0,1682550770344.0,1682550720720.0,72,"[2, 0, 1]",0,1,1,1,1,1,1,1,0
21,6449b39436fdfd7bec9237d7,B-4293,female,22,8-10,Apple,5,False,1682551367819.0,1682551518822.0,1682551415836.0,1682551396625.0,1682551460649.0,26,"[1, 0, 2]",1682551185997.0,1682551336999.0,1682551318039.0,1682551275608.0,1682551231601.0,34,"[2, 1, 0]",1682551549643.0,,1682551604849.0,1682551661661.0,1682551640056.0,82,"[0, 2, 1]",1,1,0,1,1,0,1,1,1
22,644c37dbfa3af82340661912,C-9489,female,21,4-7,Apple,1,True,1682716120857.0,1682716271864.0,1682716205682.0,1682716188876.0,1682716166466.0,49,"[2, 1, 0]",1682716302685.0,1682716453688.0,1682716367498.0,1682716348290.0,1682716383506.0,37,"[1, 0, 2]",1682716484509.0,,1682716544516.0,1682716589338.0,1682716575730.0,46,"[0, 2, 1]",1,1,0,1,1,1,1,1,1
23,644c3e02756af3143744bee5,D-3900,female,27,8-10,LG,2,False,1682717877884.0,1682718028888.0,1682717974714.0,1682717905090.0,1682717949903.0,68,"[1, 2, 0]",1682717696056.0,1682717847067.0,1682717739259.0,1682717762466.0,1682717785673.0,55,"[0, 1, 2]",1682718059709.0,,1682718114121.0,1682718138930.0,1682718100513.0,79,"[2, 0, 1]",1,0,1,1,1,1,0,1,0
